tsne_1,tsne_2
-65.65765,16.517498
-52.30462,4.2440724
-52.42874,-17.650507
2.3706462,40.670025
22.45132,12.162471
-9.339156,14.18884
11.951365,5.7068067
-61.449806,-18.193054
-52.661953,-16.877823
34.40053,-6.9764023
-44.54762,22.341072
-55.0235,5.3523827
-54.078884,21.690395
58.77022,18.056889
-27.543236,4.73431
-19.031374,9.637872
-23.592028,-20.891186
43.559616,-22.441704
-33.406124,-2.9741411
90.075455,-0.0005622476
-28.012796,9.009958
-20.105211,-16.136154
-14.458526,-8.89909
89.80519,-0.718559
-1.5291808,-12.786937
13.2980385,5.049189
59.54146,8.196984
-25.385317,-13.259258
14.453501,-5.797819
-41.499676,-24.267162
-19.165558,-30.026709
25.02163,-6.147573
30.553509,-5.7059116
-8.791954,3.5423424
-29.25126,-10.245597
35.736744,-25.059486
25.47549,2.5388894
-49.294445,5.801056
55.597652,16.98597
-61.877903,13.336228
57.649326,4.7007504
7.2716384,0.055475228
-30.134367,16.53256
-3.1340477,29.41381
-2.160352,-4.466946
-37.86329,-1.3095855
32.626396,-12.504027
16.75948,18.257849
-18.742702,-20.355518
26.738993,-3.5590715
-36.57007,18.211843
66.78893,26.711565
41.43405,-19.284073
-0.59343916,27.534334
26.057423,-2.783478
55.903694,7.5045824
-11.218423,-14.008304
-37.76793,7.9372168
77.52552,22.959627
-61.909,14.614753
-23.652575,-7.7869096
-49.5179,9.246985
-55.980656,12.028824
-21.198713,-25.321411
8.80572,-0.5209742
55.967724,-11.175394
-54.198044,-8.683352
-21.8287,-23.966827
13.146917,13.724561
-16.604204,-11.134828
36.229855,-14.303533
-4.2744575,-26.514278
54.28596,-18.066175
62.659492,-12.555321
-53.655254,22.618023
8.367824,11.09338
55.264603,7.3307056
-50.529163,6.2506623
-48.978016,-6.7290487
-64.37346,-2.7806482
-45.347187,-0.6747361
-51.976337,23.48815
7.884721,-21.692999
-58.68969,6.1028924
54.634953,-21.304607
2.7993188,6.030916
-55.845882,-5.6411595
12.081731,7.0814776
30.954088,9.536256
46.80279,-23.604425
-2.7120268,16.558994
-34.384647,-2.814714
63.891155,-8.766646
23.236103,2.6523964
-17.075642,-7.917071
77.27355,25.115368
12.578157,7.726062
-47.31927,-0.87585133
-58.089504,19.788527
27.061842,-2.4721134
-82.73006,-2.974312
44.201187,-10.264836
17.123375,17.260696
